drug,gene,no_mut,mut,amp,del,stats
Rapamycin,RB1,59,49,0,10,0
Rapamycin,RUNX1,1,1,0,0,1
Rapamycin,SETD2,2,2,0,0,1
Rapamycin,SMAD4,8,6,0,2,1
Rapamycin,SMARCA4,4,4,0,0,1
Rapamycin,SMARCB1,0,0,0,0,1
Rapamycin,SMO,0,0,0,0,1
Rapamycin,SOCS1,1,0,0,1,0
Rapamycin,STK11,6,4,0,2,0
Rapamycin,TET2,3,3,0,0,1
Rapamycin,TP53,229,225,0,4,0
Rapamycin,TSC1,1,1,0,0,0
Rapamycin,VHL,5,5,0,0,1
Rapamycin,BCR_ABL,4,4,0,0,1
Rapamycin,EWS_FLI1,11,11,0,0,1
Rapamycin,MLL_AFF1,2,2,0,0,1
Rapamycin,MISHL,43,43,0,0,0
Sunitinib,AKT2,2,0,2,0,0
Sunitinib,ALK,4,3,1,0,1
Sunitinib,APC,12,11,1,0,0
Sunitinib,BRAF,25,25,0,0,1
Sunitinib,BRCA1,2,0,2,0,1
Sunitinib,BRCA2,3,3,0,0,0
Sunitinib,CCND1,12,0,12,0,1
Sunitinib,CCND2,2,0,2,0,1
Sunitinib,CCND3,0,0,0,0,1
Sunitinib,CDH1,6,5,0,1,1
Sunitinib,CDK4,3,0,3,0,0
Sunitinib,CDK6,3,0,3,0,1
Sunitinib,CDKN2A,120,17,0,103,0
Sunitinib,CDKN2C,6,0,0,6,1
Sunitinib,CDKN2a(p14),107,107,0,0,0
Sunitinib,CTNNB1,7,4,1,2,0
Sunitinib,CYLD,1,1,0,0,1
Sunitinib,EGFR,11,5,6,0,0
Sunitinib,EP300,2,0,0,2,0
Sunitinib,ERBB2,4,0,4,0,0
Sunitinib,EZH2,4,4,0,0,1
Sunitinib,FAM123B,0,0,0,0,1
Sunitinib,FBXW7,11,10,0,1,1
Sunitinib,FGFR2,3,0,3,0,1
Sunitinib,FGFR3,2,1,1,0,0
Sunitinib,FLCN,2,1,1,0,1
Sunitinib,FLT3,4,3,1,0,0
Sunitinib,GNAS,3,1,2,0,0
Sunitinib,HRAS,3,3,0,0,0
Sunitinib,IDH1,0,0,0,0,1
Sunitinib,JAK2,3,0,2,1,1
Sunitinib,KDM5C,4,4,0,0,0
Sunitinib,KDM6A,20,10,0,10,0
Sunitinib,KDR,1,0,1,0,0
Sunitinib,KIT,2,0,2,0,0
Sunitinib,KRAS,26,21,5,0,1
Sunitinib,MAP2K4,4,0,0,4,0
Sunitinib,MDM2,5,0,5,0,1
Sunitinib,MET,3,0,3,0,1
Sunitinib,MLH1,8,7,1,0,1
Sunitinib,MLLT3,12,0,1,11,1
Sunitinib,MSH2,5,2,0,3,1
Sunitinib,MSH6,4,3,0,1,1
Sunitinib,MYC,26,0,26,0,0
Sunitinib,MYCL1,10,0,10,0,1
Sunitinib,MYCN,25,0,25,0,0
Sunitinib,NF1,12,7,0,5,1
Sunitinib,NF2,12,10,0,2,1
Sunitinib,NOTCH1,11,11,0,0,1
Sunitinib,NRAS,25,25,0,0,1
Sunitinib,PDGFRA,1,0,1,0,1
Sunitinib,PIK3CA,18,16,2,0,1
Sunitinib,PIK3R1,5,4,0,1,1
Sunitinib,PTEN,54,34,0,20,1
Sunitinib,RB1,60,50,0,10,0
Sunitinib,RUNX1,1,1,0,0,0
Sunitinib,SETD2,2,2,0,0,1
Sunitinib,SMAD4,8,6,0,2,0
Sunitinib,SMARCA4,4,4,0,0,0
Sunitinib,SMARCB1,0,0,0,0,1
Sunitinib,SMO,0,0,0,0,1
Sunitinib,SOCS1,1,0,0,1,0
Sunitinib,STK11,6,4,0,2,0
Sunitinib,TET2,3,3,0,0,1
Sunitinib,TP53,227,224,0,3,1
Sunitinib,TSC1,1,1,0,0,0
Sunitinib,VHL,5,5,0,0,1
Sunitinib,BCR_ABL,4,4,0,0,1
Sunitinib,EWS_FLI1,11,11,0,0,1
Sunitinib,MLL_AFF1,2,2,0,0,0
Sunitinib,MISHL,43,43,0,0,1
PHA-665752,AKT2,3,0,3,0,1
PHA-665752,ALK,4,3,1,0,0
PHA-665752,APC,12,11,1,0,1
PHA-665752,BRAF,25,25,0,0,0
PHA-665752,BRCA1,2,0,2,0,1
PHA-665752,BRCA2,3,3,0,0,0
PHA-665752,CCND1,12,0,12,0,0
PHA-665752,CCND2,2,0,2,0,1
PHA-665752,CCND3,0,0,0,0,1
PHA-665752,CDH1,6,5,0,1,0
PHA-665752,CDK4,3,0,3,0,0
PHA-665752,CDK6,3,0,3,0,0
PHA-665752,CDKN2A,121,17,0,104,0
PHA-665752,CDKN2C,6,0,0,6,0
PHA-665752,CDKN2a(p14),108,108,0,0,0
PHA-665752,CTNNB1,7,4,1,2,1
PHA-665752,CYLD,1,1,0,0,1
PHA-665752,EGFR,11,5,6,0,1
PHA-665752,EP300,2,0,0,2,0
PHA-665752,ERBB2,5,0,5,0,1
PHA-665752,EZH2,4,4,0,0,0
PHA-665752,FAM123B,0,0,0,0,1
PHA-665752,FBXW7,12,11,0,1,0
PHA-665752,FGFR2,3,0,3,0,1
PHA-665752,FGFR3,2,1,1,0,1
PHA-665752,FLCN,2,1,1,0,0
PHA-665752,FLT3,4,3,1,0,0
PHA-665752,GNAS,4,1,3,0,0
PHA-665752,HRAS,3,3,0,0,0
PHA-665752,IDH1,0,0,0,0,1
PHA-665752,JAK2,3,0,2,1,1
PHA-665752,KDM5C,4,4,0,0,1
PHA-665752,KDM6A,20,10,0,10,0
PHA-665752,KDR,1,0,1,0,1
PHA-665752,KIT,2,0,2,0,0
PHA-665752,KRAS,26,21,5,0,1
PHA-665752,MAP2K4,4,0,0,4,1
PHA-665752,MDM2,5,0,5,0,1
PHA-665752,MET,3,0,3,0,0
PHA-665752,MLH1,8,7,1,0,0
PHA-665752,MLLT3,12,0,1,11,1
PHA-665752,MSH2,6,3,0,3,0
PHA-665752,MSH6,4,3,0,1,1
PHA-665752,MYC,26,0,26,0,1
PHA-665752,MYCL1,10,0,10,0,0
PHA-665752,MYCN,25,0,25,0,0
PHA-665752,NF1,12,7,0,5,1
PHA-665752,NF2,12,10,0,2,0
PHA-665752,NOTCH1,12,12,0,0,0
PHA-665752,NRAS,27,27,0,0,1
PHA-665752,PDGFRA,1,0,1,0,1
PHA-665752,PIK3CA,18,16,2,0,1
PHA-665752,PIK3R1,5,4,0,1,0
PHA-665752,PTEN,54,34,0,20,1
PHA-665752,RB1,59,49,0,10,0
PHA-665752,RUNX1,1,1,0,0,1
PHA-665752,SETD2,2,2,0,0,1
PHA-665752,SMAD4,8,6,0,2,0
PHA-665752,SMARCA4,4,4,0,0,1
PHA-665752,SMARCB1,0,0,0,0,1
PHA-665752,SMO,0,0,0,0,1
PHA-665752,SOCS1,1,0,0,1,0
PHA-665752,STK11,6,4,0,2,1
PHA-665752,TET2,3,3,0,0,1
PHA-665752,TP53,229,225,0,4,0
PHA-665752,TSC1,1,1,0,0,1
PHA-665752,VHL,5,5,0,0,0
PHA-665752,BCR_ABL,4,4,0,0,1
PHA-665752,EWS_FLI1,11,11,0,0,1
PHA-665752,MLL_AFF1,2,2,0,0,0
PHA-665752,MISHL,44,44,0,0,1
MG-132,AKT2,2,0,2,0,1
MG-132,ALK,3,2,1,0,1
MG-132,APC,12,11,1,0,0
MG-132,BRAF,23,23,0,0,1
MG-132,BRCA1,2,0,2,0,0
MG-132,BRCA2,3,3,0,0,1
MG-132,CCND1,10,0,10,0,0
MG-132,CCND2,2,0,2,0,1
MG-132,CCND3,0,0,0,0,1
MG-132,CDH1,6,5,0,1,0
MG-132,CDK4,3,0,3,0,0
MG-132,CDK6,3,0,3,0,0
MG-132,CDKN2A,118,17,0,101,0
MG-132,CDKN2C,6,0,0,6,1
MG-132,CDKN2a(p14),105,105,0,0,0
MG-132,CTNNB1,7,4,1,2,0
MG-132,CYLD,1,1,0,0,0
MG-132,EGFR,11,5,6,0,1
MG-132,EP300,2,0,0,2,0
MG-132,ERBB2,5,0,5,0,0
MG-132,EZH2,4,4,0,0,0
MG-132,FAM123B,0,0,0,0,1
MG-132,FBXW7,11,10,0,1,0
MG-132,FGFR2,3,0,3,0,1
MG-132,FGFR3,2,1,1,0,0
MG-132,FLCN,2,1,1,0,1
MG-132,FLT3,4,3,1,0,0
MG-132,GNAS,4,1,3,0,0
MG-132,HRAS,3,3,0,0,0
MG-132,IDH1,0,0,0,0,1
MG-132,JAK2,3,0,2,1,0
MG-132,KDM5C,3,3,0,0,0
MG-132,KDM6A,17,9,0,8,0
MG-132,KDR,1,0,1,0,1
MG-132,KIT,2,0,2,0,0
MG-132,KRAS,24,20,4,0,0
MG-132,MAP2K4,4,1,0,3,1
MG-132,MDM2,5,0,5,0,1
MG-132,MET,3,0,3,0,0
MG-132,MLH1,8,7,1,0,1
MG-132,MLLT3,12,0,1,11,1
MG-132,MSH2,5,2,0,3,1
MG-132,MSH6,4,3,0,1,1
MG-132,MYC,27,0,27,0,0
MG-132,MYCL1,10,0,10,0,1
MG-132,MYCN,24,0,24,0,1
MG-132,NF1,13,8,0,5,0
MG-132,NF2,12,10,0,2,0
MG-132,NOTCH1,11,11,0,0,0
MG-132,NRAS,26,26,0,0,0
MG-132,PDGFRA,1,0,1,0,1
MG-132,PIK3CA,18,16,2,0,0
MG-132,PIK3R1,5,4,0,1,1
MG-132,PTEN,55,36,0,19,0
MG-132,RB1,62,51,0,11,0
MG-132,RUNX1,1,1,0,0,1
MG-132,SETD2,2,2,0,0,1
MG-132,SMAD4,8,6,0,2,1
MG-132,SMARCA4,4,4,0,0,0
MG-132,SMARCB1,0,0,0,0,1
MG-132,SMO,0,0,0,0,1
MG-132,SOCS1,1,0,0,1,1
MG-132,STK11,6,4,0,2,0
MG-132,TET2,3,3,0,0,1
MG-132,TP53,229,225,0,4,0
MG-132,TSC1,1,1,0,0,1
MG-132,VHL,4,4,0,0,0
MG-132,BCR_ABL,4,4,0,0,0
MG-132,EWS_FLI1,11,11,0,0,0
MG-132,MLL_AFF1,2,2,0,0,1
MG-132,MISHL,41,41,0,0,1
Paclitaxel,AKT2,2,0,2,0,1
Paclitaxel,ALK,4,3,1,0,1
Paclitaxel,APC,12,11,1,0,1
Paclitaxel,BRAF,25,25,0,0,0
Paclitaxel,BRCA1,2,0,2,0,0
Paclitaxel,BRCA2,3,3,0,0,0
Paclitaxel,CCND1,12,0,12,0,1
Paclitaxel,CCND2,2,0,2,0,1
Paclitaxel,CCND3,0,0,0,0,1
Paclitaxel,CDH1,6,5,0,1,0
Paclitaxel,CDK4,3,0,3,0,1
Paclitaxel,CDK6,3,0,3,0,1
Paclitaxel,CDKN2A,121,17,0,104,0
Paclitaxel,CDKN2C,6,0,0,6,1
Paclitaxel,CDKN2a(p14),108,108,0,0,0
Paclitaxel,CTNNB1,7,4,1,2,0
Paclitaxel,CYLD,1,1,0,0,0
Paclitaxel,EGFR,11,5,6,0,1
Paclitaxel,EP300,2,0,0,2,0
Paclitaxel,ERBB2,4,0,4,0,1
Paclitaxel,EZH2,4,4,0,0,1
Paclitaxel,FAM123B,0,0,0,0,1
Paclitaxel,FBXW7,12,11,0,1,0
Paclitaxel,FGFR2,3,0,3,0,1
Paclitaxel,FGFR3,2,1,1,0,0
Paclitaxel,FLCN,2,1,1,0,1
Paclitaxel,FLT3,4,3,1,0,0
Paclitaxel,GNAS,3,1,2,0,0
Paclitaxel,HRAS,3,3,0,0,1
Paclitaxel,IDH1,0,0,0,0,1
Paclitaxel,JAK2,3,0,2,1,0
Paclitaxel,KDM5C,4,4,0,0,0
Paclitaxel,KDM6A,20,10,0,10,1
Paclitaxel,KDR,1,0,1,0,1
Paclitaxel,KIT,2,0,2,0,0
Paclitaxel,KRAS,26,21,5,0,0
Paclitaxel,MAP2K4,4,0,0,4,1
Paclitaxel,MDM2,5,0,5,0,0
Paclitaxel,MET,3,0,3,0,0
Paclitaxel,MLH1,8,7,1,0,1
Paclitaxel,MLLT3,12,0,1,11,1
Paclitaxel,MSH2,6,3,0,3,1
Paclitaxel,MSH6,4,3,0,1,1
Paclitaxel,MYC,26,0,26,0,0
Paclitaxel,MYCL1,10,0,10,0,1
Paclitaxel,MYCN,25,0,25,0,1
Paclitaxel,NF1,12,7,0,5,1
Paclitaxel,NF2,12,10,0,2,1
Paclitaxel,NOTCH1,12,12,0,0,0
Paclitaxel,NRAS,26,26,0,0,1
Paclitaxel,PDGFRA,1,0,1,0,1
Paclitaxel,PIK3CA,18,16,2,0,0
Paclitaxel,PIK3R1,5,4,0,1,1
Paclitaxel,PTEN,54,34,0,20,1
Paclitaxel,RB1,60,50,0,10,0
Paclitaxel,RUNX1,1,1,0,0,0
Paclitaxel,SETD2,2,2,0,0,1
Paclitaxel,SMAD4,8,6,0,2,0
Paclitaxel,SMARCA4,4,4,0,0,0
Paclitaxel,SMARCB1,0,0,0,0,1
Paclitaxel,SMO,0,0,0,0,1
Paclitaxel,SOCS1,1,0,0,1,0
Paclitaxel,STK11,6,4,0,2,1
Paclitaxel,TET2,3,3,0,0,0
Paclitaxel,TP53,228,225,0,3,0
Paclitaxel,TSC1,1,1,0,0,1
Paclitaxel,VHL,5,5,0,0,1
Paclitaxel,BCR_ABL,4,4,0,0,1
Paclitaxel,EWS_FLI1,11,11,0,0,1
Paclitaxel,MLL_AFF1,2,2,0,0,0
Paclitaxel,MISHL,44,44,0,0,0
Cyclopamine,AKT2,1,0,1,0,0
Cyclopamine,ALK,3,2,1,0,0
Cyclopamine,APC,12,11,1,0,0
Cyclopamine,BRAF,23,23,0,0,1
Cyclopamine,BRCA1,2,0,2,0,1
Cyclopamine,BRCA2,3,3,0,0,0
Cyclopamine,CCND1,10,0,10,0,1
Cyclopamine,CCND2,2,0,2,0,1
Cyclopamine,CCND3,0,0,0,0,1
Cyclopamine,CDH1,6,5,0,1,0
Cyclopamine,CDK4,3,0,3,0,0
Cyclopamine,CDK6,3,0,3,0,1
Cyclopamine,CDKN2A,118,17,0,101,1
Cyclopamine,CDKN2C,6,0,0,6,1
Cyclopamine,CDKN2a(p14),105,105,0,0,0
Cyclopamine,CTNNB1,7,4,1,2,0
Cyclopamine,CYLD,1,1,0,0,1
Cyclopamine,EGFR,11,5,6,0,0
Cyclopamine,EP300,2,0,0,2,0
Cyclopamine,ERBB2,5,0,5,0,1
Cyclopamine,EZH2,4,4,0,0,1
Cyclopamine,FAM123B,0,0,0,0,1
Cyclopamine,FBXW7,11,10,0,1,0
Cyclopamine,FGFR2,3,0,3,0,1
Cyclopamine,FGFR3,2,1,1,0,1
Cyclopamine,FLCN,2,1,1,0,0
Cyclopamine,FLT3,4,3,1,0,1
Cyclopamine,GNAS,4,1,3,0,0
Cyclopamine,HRAS,3,3,0,0,1
Cyclopamine,IDH1,0,0,0,0,1
Cyclopamine,JAK2,3,0,2,1,1
Cyclopamine,KDM5C,3,3,0,0,1
Cyclopamine,KDM6A,17,9,0,8,0
Cyclopamine,KDR,1,0,1,0,1
Cyclopamine,KIT,2,0,2,0,0
Cyclopamine,KRAS,24,20,4,0,1
Cyclopamine,MAP2K4,4,1,0,3,1
Cyclopamine,MDM2,5,0,5,0,1
Cyclopamine,MET,3,0,3,0,0
Cyclopamine,MLH1,8,7,1,0,1
Cyclopamine,MLLT3,12,0,1,11,0
Cyclopamine,MSH2,5,2,0,3,0
Cyclopamine,MSH6,4,3,0,1,0
Cyclopamine,MYC,27,0,27,0,0
Cyclopamine,MYCL1,10,0,10,0,1
Cyclopamine,MYCN,24,0,24,0,1
Cyclopamine,NF1,13,8,0,5,0
Cyclopamine,NF2,12,10,0,2,0
Cyclopamine,NOTCH1,11,11,0,0,0
Cyclopamine,NRAS,25,25,0,0,1
Cyclopamine,PDGFRA,1,0,1,0,1
Cyclopamine,PIK3CA,18,16,2,0,0
Cyclopamine,PIK3R1,5,4,0,1,1
Cyclopamine,PTEN,55,36,0,19,0
Cyclopamine,RB1,63,52,0,11,0
Cyclopamine,RUNX1,1,1,0,0,1
Cyclopamine,SETD2,2,2,0,0,1
Cyclopamine,SMAD4,8,6,0,2,0
Cyclopamine,SMARCA4,4,4,0,0,1
Cyclopamine,SMARCB1,0,0,0,0,1
Cyclopamine,SMO,0,0,0,0,1
Cyclopamine,SOCS1,1,0,0,1,1
Cyclopamine,STK11,6,4,0,2,0
Cyclopamine,TET2,3,3,0,0,0
Cyclopamine,TP53,226,223,0,3,1
Cyclopamine,TSC1,1,1,0,0,1
Cyclopamine,VHL,4,4,0,0,0
Cyclopamine,BCR_ABL,4,4,0,0,0
Cyclopamine,EWS_FLI1,11,11,0,0,1
Cyclopamine,MLL_AFF1,2,2,0,0,0
Cyclopamine,MISHL,41,41,0,0,1
AZ628,AKT2,2,0,2,0,1
AZ628,ALK,3,2,1,0,0
AZ628,APC,12,11,1,0,0
AZ628,BRAF,23,23,0,0,0
AZ628,BRCA1,2,0,2,0,0
AZ628,BRCA2,3,3,0,0,0
AZ628,CCND1,10,0,10,0,1
AZ628,CCND2,2,0,2,0,1
AZ628,CCND3,0,0,0,0,1
AZ628,CDH1,6,5,0,1,1
AZ628,CDK4,3,0,3,0,0
AZ628,CDK6,3,0,3,0,0
AZ628,CDKN2A,118,17,0,101,0
AZ628,CDKN2C,6,0,0,6,0
AZ628,CDKN2a(p14),105,105,0,0,1
AZ628,CTNNB1,7,4,1,2,0
AZ628,CYLD,1,1,0,0,1
AZ628,EGFR,11,5,6,0,1
AZ628,EP300,2,0,0,2,0
AZ628,ERBB2,5,0,5,0,1
AZ628,EZH2,4,4,0,0,1
AZ628,FAM123B,0,0,0,0,1
AZ628,FBXW7,12,11,0,1,0
AZ628,FGFR2,3,0,3,0,1
AZ628,FGFR3,2,1,1,0,0
AZ628,FLCN,2,1,1,0,1
AZ628,FLT3,4,3,1,0,0
AZ628,GNAS,4,1,3,0,0
AZ628,HRAS,3,3,0,0,0
AZ628,IDH1,0,0,0,0,1
AZ628,JAK2,3,0,2,1,1
AZ628,KDM5C,3,3,0,0,1
AZ628,KDM6A,17,9,0,8,1
AZ628,KDR,1,0,1,0,0
AZ628,KIT,2,0,2,0,1
AZ628,KRAS,24,20,4,0,0
AZ628,MAP2K4,4,1,0,3,0
AZ628,MDM2,5,0,5,0,1
AZ628,MET,3,0,3,0,0
AZ628,MLH1,8,7,1,0,1
AZ628,MLLT3,12,0,1,11,1
AZ628,MSH2,6,3,0,3,0
AZ628,MSH6,4,3,0,1,1
AZ628,MYC,27,0,27,0,1
AZ628,MYCL1,10,0,10,0,1
AZ628,MYCN,24,0,24,0,1
AZ628,NF1,13,8,0,5,1
AZ628,NF2,12,10,0,2,1
AZ628,NOTCH1,12,12,0,0,0
AZ628,NRAS,25,25,0,0,0
AZ628,PDGFRA,1,0,1,0,1
AZ628,PIK3CA,18,16,2,0,0
AZ628,PIK3R1,5,4,0,1,1
AZ628,PTEN,55,36,0,19,1
AZ628,RB1,62,51,0,11,0
AZ628,RUNX1,1,1,0,0,1
AZ628,SETD2,1,1,0,0,0
AZ628,SMAD4,8,6,0,2,0
AZ628,SMARCA4,4,4,0,0,0
AZ628,SMARCB1,0,0,0,0,1
AZ628,SMO,0,0,0,0,1
AZ628,SOCS1,1,0,0,1,0
AZ628,STK11,6,4,0,2,1
AZ628,TET2,3,3,0,0,1
AZ628,TP53,228,224,0,4,1
AZ628,TSC1,1,1,0,0,0
AZ628,VHL,3,3,0,0,1
AZ628,BCR_ABL,4,4,0,0,0
AZ628,EWS_FLI1,11,11,0,0,1
AZ628,MLL_AFF1,2,2,0,0,0
AZ628,MISHL,41,41,0,0,1
Sorafenib,AKT2,2,0,2,0,0
Sorafenib,ALK,3,2,1,0,0
Sorafenib,APC,12,11,1,0,0
Sorafenib,BRAF,23,23,0,0,1
Sorafenib,BRCA1,2,0,2,0,1
Sorafenib,BRCA2,3,3,0,0,1
Sorafenib,CCND1,10,0,10,0,0
Sorafenib,CCND2,2,0,2,0,1
Sorafenib,CCND3,0,0,0,0,1
Sorafenib,CDH1,6,5,0,1,0
Sorafenib,CDK4,3,0,3,0,0
Sorafenib,CDK6,3,0,3,0,1
Sorafenib,CDKN2A,119,17,0,102,1
Sorafenib,CDKN2C,6,0,0,6,1
Sorafenib,CDKN2a(p14),106,106,0,0,0
Sorafenib,CTNNB1,7,4,1,2,1
Sorafenib,CYLD,1,1,0,0,0
Sorafenib,EGFR,11,5,6,0,0
Sorafenib,EP300,2,0,0,2,1
Sorafenib,ERBB2,5,0,5,0,1
Sorafenib,EZH2,4,4,0,0,1
Sorafenib,FAM123B,0,0,0,0,1
Sorafenib,FBXW7,12,11,0,1,1
Sorafenib,FGFR2,3,0,3,0,0
Sorafenib,FGFR3,2,1,1,0,0
Sorafenib,FLCN,2,1,1,0,0
Sorafenib,FLT3,4,3,1,0,0
Sorafenib,GNAS,4,1,3,0,0
Sorafenib,HRAS,3,3,0,0,1
Sorafenib,IDH1,0,0,0,0,1
Sorafenib,JAK2,3,0,2,1,1
Sorafenib,KDM5C,3,3,0,0,1
Sorafenib,KDM6A,17,9,0,8,1
Sorafenib,KDR,1,0,1,0,0
Sorafenib,KIT,2,0,2,0,0
Sorafenib,KRAS,24,20,4,0,0
Sorafenib,MAP2K4,4,1,0,3,0
Sorafenib,MDM2,5,0,5,0,1
Sorafenib,MET,3,0,3,0,0
Sorafenib,MLH1,8,7,1,0,1
Sorafenib,MLLT3,12,0,1,11,1
Sorafenib,MSH2,6,3,0,3,1
Sorafenib,MSH6,4,3,0,1,1
Sorafenib,MYC,27,0,27,0,1
Sorafenib,MYCL1,10,0,10,0,0
Sorafenib,MYCN,24,0,24,0,1
Sorafenib,NF1,13,8,0,5,1
Sorafenib,NF2,12,10,0,2,0
Sorafenib,NOTCH1,12,12,0,0,1
Sorafenib,NRAS,27,27,0,0,0
Sorafenib,PDGFRA,1,0,1,0,1
Sorafenib,PIK3CA,18,16,2,0,1
Sorafenib,PIK3R1,5,4,0,1,1
Sorafenib,PTEN,55,36,0,19,0
Sorafenib,RB1,63,52,0,11,0
Sorafenib,RUNX1,1,1,0,0,1
Sorafenib,SETD2,2,2,0,0,1
Sorafenib,SMAD4,8,6,0,2,1
Sorafenib,SMARCA4,4,4,0,0,0
